Year,Country,unhcr_resettlement_arrivals_by_origin_per_capita
1992,Belize,2.573022375002573e-05
1992,Cambodia,5.538295861168119e-05
1992,Chad,7.865665755455507e-07
1992,China,2.983315205591401e-08
1992,Chile,4.081686797886094e-06
1992,Democratic Republic of Congo,3.026738394473851e-06
1992,Colombia,7.262677206418765e-07
1992,Costa Rica,1.7952092255497828e-05
1992,Cuba,0.0003491864022027524
1992,Czechia,1.3908983667665698e-05
1992,Djibouti,8.129420372327454e-06
1992,Ecuador,4.6658630806211684e-07
1992,Estonia,7.2329829281876575e-06
1992,Ethiopia,8.745013548353712e-05
1992,France,8.749333060214153e-08
1992,United Kingdom,8.703819989962407e-08
1992,Georgia,9.426980962211947e-07
1992,Germany,1.0254721530160524e-06
1992,Ghana,1.7248709461140734e-06
1992,Greece,8.637048754988615e-07
1992,Guatemala,4.583587748203852e-05
1992,Haiti,7.377562182944142e-06
1992,Hong Kong,9.71909264597182e-06
1992,Honduras,9.53347556007739e-06
1992,Croatia,3.148198153085255e-05
1992,Hungary,1.9017973626221713e-05
1992,India,1.6496078555505e-08
1992,Indonesia,3.2545046152337682e-06
1992,Iran,5.869305769667074e-05
1992,Iraq,0.00048405835218016447
1992,Israel,2.5879339996877648e-05
1992,Italy,1.0499549674314468e-07
1992,Jordan,4.273862040236149e-06
1992,Kenya,7.502147983422622e-07
1992,Kuwait,3.0850883041165015e-05
1992,Laos,0.001665205297548233
1992,Liberia,0.0003182434957424316
1992,Lebanon,1.3328422405663214e-05
1992,Sri Lanka,7.724042186350468e-06
1992,Lithuania,2.9825631225592127e-06
1992,Latvia,1.9082119519710683e-06
1992,Moldova,8.453657052040712e-06
1992,Mexico,2.985927004466579e-07
1992,Malaysia,7.367389618085047e-07
1992,Malawi,5.162103470440867e-07
1992,Mozambique,5.794582485483304e-07
1992,Malta,1.3591019054608715e-05
1992,Myanmar,1.50937394329084e-06
1992,Netherlands,1.5165645776934715e-06
1992,Nicaragua,1.420547625692116e-05
1992,Pakistan,9.393287886558158e-07
1992,Panama,7.76412887056382e-06
1992,Peru,1.4368553037072347e-06
1992,Philippines,1.5379853781884513e-06
1992,Poland,0.0001271546255747876
1992,Portugal,9.044039952548937e-07
1992,Romania,7.118464424019547e-05
1992,South Africa,5.171618745887108e-07
1992,Russia,0.00042251029645013925
1992,Rwanda,3.730096763186153e-06
1992,El Salvador,0.0003943631911441093
1992,Saudi Arabia,4.6289101126989175e-07
1992,Singapore,1.5626748242459625e-06
1992,Somalia,0.00027291244595894934
1992,Spain,2.0298977550650262e-07
1992,Vietnam,0.000697045269555584
1992,Sao Tome and Principe,4.013678616725801e-05
1992,Sudan,1.3135916638090286e-05
1992,Syria,1.2132545941212203e-06
1992,Tanzania,1.8545165861287203e-07
1992,Thailand,3.805502497144792e-07
1992,Tajikistan,9.086795250877331e-07
1992,Togo,1.267137399763096e-06
1992,Tunisia,5.804602004561256e-07
1992,Turkey,8.430652662025216e-07
1992,Uganda,1.2283378842892784e-05
1992,Ukraine,5.718069197856222e-06
1992,United States,3.0351303733247716e-07
1992,Uzbekistan,1.4035012865896294e-06
1992,Zambia,5.91621736939891e-07
1993,Chile,1.936187005259401e-06
1993,Ethiopia,8.055080614976603e-05
1993,Sri Lanka,2.733638656596239e-06
1993,El Salvador,0.00019779698598191268
1993,Afghanistan,0.00015123350459431834
1993,Albania,0.00015210334514690179
1993,Egypt,3.5069756082832493e-07
1993,Armenia,4.460156087622443e-06
1993,Austria,6.335458203778493e-07
1993,Azerbaijan,6.594780046939007e-07
1993,Burundi,8.10616803499933e-06
1993,Bangladesh,4.531011287918119e-08
1993,Belarus,1.184000249429386e-06
1993,Bosnia and Herzegovina,0.0018678872452156689
1993,Bulgaria,5.3637797016385885e-06
1993,Cambodia,2.697897555514257e-05
1993,Chad,7.617393556446791e-07
1993,China,3.0357304016041013e-08
1993,Democratic Republic of Congo,6.440670411959449e-06
1993,Colombia,1.9947980227106045e-07
1993,Costa Rica,1.2157881658145277e-05
1993,Cuba,0.00028491158657753155
1993,Czechia,1.6411335251335737e-06
1993,Denmark,9.632528663997172e-07
1993,Djibouti,8.084022092015574e-06
1993,Estonia,3.360079566684139e-06
1993,Palestine,9.199635861685984e-06
1993,United Kingdom,1.0416254537428979e-07
1993,Georgia,2.111748347172964e-06
1993,Germany,3.3570165880260665e-07
1993,Ghana,1.0554577222129645e-06
1993,Greece,3.512498942690352e-06
1993,Guatemala,4.306398654391284e-05
1993,Guyana,6.6300598959611005e-06
1993,Haiti,0.0001751850098462822
1993,Hong Kong,1.6868139727572796e-06
1993,Honduras,2.5952763005300296e-06
1993,Croatia,5.492239869531629e-05
1993,Hungary,9.17072334418246e-06
1993,India,2.3722135314022942e-08
1993,Indonesia,3.2486044204996915e-07
1993,Iran,3.5329322277610746e-05
1993,Iraq,0.0004538623325759465
1993,Israel,3.85441430855966e-06
1993,Italy,7.517796635209059e-07
1993,Jordan,2.14206202983226e-06
1993,Kazakhstan,6.798028892982401e-07
1993,Kenya,1.989576379779828e-06
1993,Kyrgyzstan,1.1151146204016018e-06
1993,Kuwait,2.312977439443712e-05
1993,Laos,0.0015233944292855372
1993,Liberia,0.0004861635624204166
1993,Lebanon,3.388651529252226e-06
1993,Lithuania,1.362155452994331e-06
1993,Latvia,1.9359899762182993e-06
1993,Moldova,4.575449738112695e-06
1993,Mexico,1.1283441864999486e-07
1993,Malawi,8.238644701753338e-07
1993,Myanmar,7.1811624492725485e-06
1993,Netherlands,1.4409217183253477e-06
1993,Nicaragua,6.49860526485626e-06
1993,Pakistan,2.647611154402875e-07
1993,Panama,2.2817297336765056e-06
1993,Peru,5.126422929464479e-07
1993,Philippines,7.057703059427181e-07
1993,Poland,2.2061886123123237e-05
1993,Portugal,5.00167956399759e-07
1993,Romania,1.0018506718784687e-05
1993,South Africa,2.0184815195653685e-07
1993,Russia,0.0003316021536555995
1993,Rwanda,7.3438341647298635e-06
1993,Saudi Arabia,2.814792771859864e-07
1993,Singapore,1.512492736253634e-06
1993,Somalia,0.0004862036801121508
1993,Vietnam,0.0006643816787059884
1993,Sudan,2.987415081172684e-05
1993,Syria,1.3269371033287396e-06
1993,Tanzania,1.7929370043694593e-07
1993,Thailand,2.742648403805198e-07
1993,Tajikistan,8.939239453083027e-07
1993,Togo,1.24098917758158e-06
1993,Turkey,9.884595930427131e-07
1993,United Arab Emirates,1.7486258331856972e-05
1993,Uganda,4.171884564371292e-06
1993,Ukraine,4.813312367038336e-06
1993,United States,1.2715188674327145e-07
1993,Uzbekistan,1.326504184846254e-06
1993,Yemen,5.134192386403427e-07
1994,Chile,1.200027162967783e-06
1994,El Salvador,5.321907055050814e-05
1994,Afghanistan,4.27507395292312e-05
1994,Albania,5.593484607429546e-05
1994,Angola,4.4432092322778713e-07
1994,Egypt,5.56503029242401e-07
1994,Argentina,1.4533756087354735e-07
1994,Austria,1.3841326804421423e-06
1994,Azerbaijan,6.507278260588904e-07
1994,Burundi,8.815107195093918e-06
1994,Botswana,3.486602034362555e-06
1994,Bosnia and Herzegovina,0.005853891005955249
1994,Bulgaria,5.899828928560388e-07
1994,Cambodia,7.520909533828634e-05
1994,China,2.5202841697473306e-08
1994,Democratic Republic of Congo,3.055674918719668e-06
1994,Colombia,1.3982502520066428e-07
1994,Costa Rica,1.73469113390688e-06
1994,Cuba,0.00024680625782571897
1994,Czechia,4.825805784094994e-07
1994,Denmark,9.59447235583058e-07
1994,Eritrea,9.330897983985114e-05
1994,Ethiopia,2.2054695536196674e-05
1994,France,8.682496756826986e-08
1994,United Kingdom,1.5580805154379638e-07
1994,Georgia,9.809449481923735e-07
1994,Germany,3.5876468559941315e-07
1994,Ghana,1.3887482529697929e-06
1994,Greece,3.2879474461995506e-06
1994,Guatemala,1.317302483026705e-05
1994,Haiti,0.0004953752263454383
1994,Hong Kong,3.6668995147858557e-06
1994,Honduras,3.7844868118744222e-06
1994,Croatia,8.566275924256086e-05
1994,Hungary,2.027499457885264e-06
1994,Cote d'Ivoire,7.280437653316916e-07
1994,India,6.345165398728481e-09
1994,Indonesia,4.073898287177424e-07
1994,Iran,2.870081779011031e-05
1994,Iraq,0.0004891667828424982
1994,Italy,6.816568484193374e-07
1994,Jordan,2.9476071891685868e-06
1994,Kenya,4.378396132644327e-06
1994,Kuwait,6.026623210695568e-06
1994,Laos,0.001344852029324489
1994,Liberia,0.000309591133309942
1994,Libya,1.0298934822367063e-06
1994,Lebanon,4.407410443623491e-06
1994,Sri Lanka,2.3764161367719226e-06
1994,Latvia,1.9656931505815305e-06
1994,Mauritania,2.216783712846705e-06
1994,North Macedonia,5.5507533129166535e-06
1994,Mexico,1.5528571040040244e-07
1994,Malaysia,1.251407332686339e-06
1994,Malawi,5.130470428224975e-07
1994,Myanmar,1.703415689601795e-05
1994,Netherlands,1.8218348336251632e-06
1994,Nicaragua,1.0967293337807988e-06
1994,Pakistan,4.0710264845695967e-07
1994,Peru,8.804512773985431e-07
1994,Philippines,8.653456720088219e-07
1994,Poland,2.2922953167182386e-06
1994,Romania,3.287792504300303e-06
1994,Russia,0.0003002303149867573
1994,Rwanda,1.583490461070308e-05
1994,Saudi Arabia,7.741096023904064e-06
1994,Somalia,0.0006148448198408375
1994,Spain,1.5128562905787453e-07
1994,Vietnam,0.0005538672679149103
1994,Sudan,6.504283807868255e-05
1994,Slovenia,9.021082269263268e-06
1994,Sweden,1.1365916004744133e-06
1994,Switzerland,7.206265069201043e-07
1994,Syria,1.21859553853536e-06
1994,Thailand,8.492529334257887e-08
1994,Turkmenistan,1.2150358253313098e-06
1994,Tunisia,1.4496121506936506e-06
1994,Turkey,1.2160333863008524e-06
1994,United Arab Emirates,4.358481627038625e-06
1994,Uganda,6.062583748910818e-07
1994,Ukraine,2.7371671778228617e-07
1994,United States,4.194611614123004e-08
1994,Uzbekistan,4.477036874935139e-07
1994,Yemen,1.9583683071101986e-06
1995,El Salvador,4.867993864195763e-05
1995,Afghanistan,7.415521310043774e-05
1995,Albania,1.6383315616865565e-05
1995,Angola,3.585461812859689e-07
1995,Egypt,1.2673656161301952e-06
1995,Austria,1.8773201330193955e-06
1995,Azerbaijan,9.002731428715472e-07
1995,Bahrain,8.869997764760562e-06
1995,Burundi,3.6746013558610893e-06
1995,Botswana,4.764585246257589e-06
1995,Bosnia and Herzegovina,0.005504238780961017
1995,Bulgaria,5.967081995463824e-07
1995,Cambodia,6.0340770513164e-05
1995,China,2.095218765655389e-08
1995,Chile,1.112589619093818e-06
1995,Cameroon,5.147064878899857e-07
1995,Democratic Republic of Congo,3.174890350231054e-06
1995,Colombia,5.765834945890934e-07
1995,Cuba,0.0005632679496771105
1995,Cyprus,5.845280111668231e-06
1995,Denmark,1.3377392092699976e-06
1995,Ecuador,6.110759257472913e-07
1995,Eritrea,9.073475644749838e-05
1995,Ethiopia,1.6126797011620375e-05
1995,France,8.65023662635789e-08
1995,Palestine,1.909365475846336e-06
1995,United Kingdom,1.553533468720898e-07
1995,Georgia,1.0047722663562859e-06
1995,Germany,1.5159236128802877e-06
1995,Ghana,3.5264955603184145e-07
1995,Greece,4.653109738381697e-06
1995,Guatemala,1.0376148846239501e-05
1995,Guinea,6.877928191953622e-07
1995,Guyana,6.567730376278409e-06
1995,Haiti,0.00019174876031521172
1995,Hong Kong,1.1505145923052927e-06
1995,Honduras,8.758085902809769e-07
1995,Croatia,0.00010808438726441015
1995,Hungary,6.763737246973421e-07
1995,Cote d'Ivoire,7.746610347400966e-07
1995,India,3.008540355957589e-08
1995,Indonesia,9.241662815423728e-07
1995,Iran,3.743327640545759e-05
1995,Iraq,0.00045549874531882975
1995,Israel,1.8970407681649242e-06
1995,Italy,1.0494204995059679e-07
1995,Jordan,5.883837360275206e-06
1995,Kenya,2.5928849723841543e-06
1995,Kuwait,1.3076722375579657e-05
1995,Laos,0.0007778846366133586
1995,Liberia,2.983385477368576e-05
1995,Lebanon,2.8341626565626878e-06
1995,Sri Lanka,2.1816686443291937e-05
1995,Lithuania,1.3786983929064313e-06
1995,Mauritania,3.025548596793783e-06
1995,North Macedonia,2.521102891755439e-06
1995,Mozambique,3.875148652316948e-07
1995,Malta,1.8572910613887762e-05
1995,Myanmar,1.2026897061924715e-05
1995,Netherlands,3.8790130652918066e-07
1995,Oman,2.7219932975451704e-06
1995,Pakistan,4.0395280748615036e-07
1995,Peru,9.053807932847742e-07
1995,Philippines,5.44536750907123e-07
1995,Poland,1.482111614861492e-06
1995,Portugal,4.954752211850935e-07
1995,Romania,1.0450800960271846e-06
1995,South Africa,1.2066871415731932e-07
1995,Russia,0.0002448196663896397
1995,Rwanda,2.5015034721210865e-05
1995,Saudi Arabia,7.886778058017715e-06
1995,Sierra Leone,1.1152538143423035e-05
1995,Somalia,0.00045010129281318245
1995,Spain,1.7593503754566802e-07
1995,Vietnam,0.0004613641282842442
1995,Sudan,9.292484198107795e-05
1995,Slovenia,4.0178270988375425e-06
1995,Eswatini,1.1868334851041608e-05
1995,Sweden,1.584351854670573e-06
1995,Switzerland,2.8589730082928803e-06
1995,Syria,3.2762907871191026e-06
1995,Thailand,1.5807013982413722e-06
1995,Turkmenistan,1.9012125220510945e-06
1995,Togo,5.9153494563675545e-06
1995,Tunisia,5.479211870164595e-07
1995,Turkey,3.932534599080577e-07
1995,United Arab Emirates,3.726555308912802e-06
1995,Uganda,9.797602595228165e-07
1995,Ukraine,9.822452684901631e-08
1995,United States,2.2627528097817867e-08
1995,Uzbekistan,2.1938452723928748e-07
1995,Yemen,3.352709086170189e-07
1995,Zambia,6.595865184033433e-07
1996,Bosnia and Herzegovina,0.005043009293067536
1996,Afghanistan,9.075264975460186e-05
1996,Albania,9.036050290783326e-06
1996,Algeria,4.4419516363722717e-07
1996,Egypt,1.9810812401794974e-06
1996,Armenia,1.5781767198101895e-06
1996,Austria,6.236084178156444e-07
1996,Burundi,1.0395850900396197e-05
1996,Belgium,4.897991970231964e-07
1996,Bulgaria,1.5677818419507065e-06
1996,Cambodia,4.088166360873644e-05
1996,China,6.391633719619121e-09
1996,Chile,5.48419738805502e-07
1996,Democratic Republic of Congo,4.443691979269288e-06
1996,Colombia,5.124555421217283e-07
1996,Cuba,0.00032022202547972743
1996,Denmark,3.425402441969401e-06
1996,Ecuador,7.690224758781147e-07
1996,Eritrea,7.694174326315852e-05
1996,Ethiopia,1.1157618927438303e-05
1996,France,4.654205061344577e-07
1996,Palestine,2.1877577452093573e-06
1996,United Kingdom,1.7207689620910123e-07
1996,Germany,1.7584057265691883e-06
1996,Ghana,2.863277797960705e-07
1996,Greece,2.4925824899403527e-06
1996,Guatemala,1.1928605698154052e-05
1996,Haiti,4.944650344756237e-06
1996,Hong Kong,9.699973357406511e-07
1996,Honduras,1.0213089299508035e-06
1996,Croatia,0.0002179288323561145
1996,Hungary,6.774772026501747e-07
1996,Iceland,1.8508647239990522e-05
1996,Cote d'Ivoire,6.137008719666556e-07
1996,India,4.2753955400507005e-08
1996,Indonesia,2.7013340403091364e-07
1996,Iran,3.444903748891623e-05
1996,Iraq,0.00029437417652336594
1996,Italy,1.5771424810319265e-07
1996,Jordan,3.169339053356457e-05
1996,Kenya,3.4278371718580442e-06
1996,Kuwait,6.761499774411781e-06
1996,Laos,0.00044655940219611893
1996,Liberia,2.453158557357624e-05
1996,Libya,9.928173635020083e-07
1996,Lebanon,3.6004467877506155e-06
1996,Sri Lanka,1.1542258003222032e-05
1996,Mauritania,2.1071263011504908e-06
1996,North Macedonia,2.513268802643557e-06
1996,Malaysia,2.854747723802587e-07
1996,Malta,1.3148932701132648e-05
1996,Myanmar,9.403358479218679e-06
1996,Netherlands,6.425392328030157e-07
1996,Nicaragua,4.639812416602008e-06
1996,Nigeria,4.517985848656293e-07
1996,Pakistan,5.418169066710092e-07
1996,Peru,2.8278457975686585e-07
1996,Philippines,7.002630173888053e-08
1996,Papua New Guinea,1.1290381460591487e-06
1996,Poland,4.933825455589442e-07
1996,Romania,1.0523682099558767e-06
1996,Russia,0.000202613345314348
1996,Rwanda,3.1930221821911846e-05
1996,El Salvador,2.935003039573507e-05
1996,Saudi Arabia,7.880699656921621e-07
1996,Senegal,2.2439456103487183e-06
1996,Sierra Leone,3.0143809157225473e-06
1996,Somalia,0.000944461719948617
1996,Spain,7.517108563234493e-07
1996,Vietnam,0.0002373642607642017
1996,Sudan,3.655822619809297e-05
1996,Slovenia,9.55455651771616e-06
1996,Sweden,1.3545271684286808e-06
1996,Switzerland,1.278767472759056e-06
1996,Syria,3.4566550369428313e-06
1996,Thailand,1.530013459129266e-06
1996,Togo,6.668493987317904e-06
1996,Turkey,2.5242633030106486e-07
1996,Uganda,9.033502264580156e-07
1996,Ukraine,1.9770477801242917e-07
1996,Zambia,2.0343178718037117e-06
1997,Bosnia and Herzegovina,0.007051259746203899
1997,Afghanistan,9.707019523456116e-05
1997,Albania,2.9034627664773933e-06
1997,Algeria,6.051848200819151e-07
1997,Egypt,4.499765603819462e-06
1997,Austria,1.7428384589175006e-06
1997,Azerbaijan,1.5140679624733208e-06
1997,Bahrain,8.4043924716814e-06
1997,Burundi,1.502744959679066e-05
1997,Belgium,4.890556677394918e-07
1997,Cambodia,1.0001244402622131e-05
1997,Chad,5.997206101584142e-06
1997,China,4.2789358502389e-08
1997,Chile,8.791965658311617e-07
1997,Cameroon,1.3245546498700124e-06
1997,Democratic Republic of Congo,2.6467587210870986e-06
1997,Colombia,1.325423102225404e-07
1997,Cuba,0.00026552062698537637
1997,Djibouti,4.388234688843897e-05
1997,Eritrea,4.874288900469754e-05
1997,Ethiopia,8.715358899056094e-06
1997,France,2.4046447981512815e-07
1997,Gambia,1.3327535855236305e-05
1997,Germany,1.2776530496288357e-06
1997,Ghana,2.7918959301807135e-07
1997,Greece,2.3839545918999823e-06
1997,Guatemala,6.33746330815401e-06
1997,Haiti,9.339136548262602e-06
1997,Honduras,8.270335431572568e-07
1997,Croatia,0.00035852930177245854
1997,Hungary,8.73067695049871e-07
1997,Cote d'Ivoire,1.0574545456468098e-06
1997,India,3.596762812759158e-08
1997,Indonesia,2.4651617912307333e-08
1997,Iran,5.3915093452802254e-05
1997,Iraq,0.0003340084243258695
1997,Italy,8.786785195244037e-08
1997,Jordan,4.124956481709118e-06
1997,Kazakhstan,3.2454877172894593e-07
1997,Kenya,2.855621801448616e-06
1997,Kuwait,1.6956515892055988e-05
1997,Laos,0.00019820573319488633
1997,Liberia,0.0001143490914405836
1997,Libya,9.769425917270939e-07
1997,Sri Lanka,1.5700374486415035e-05
1997,North Macedonia,6.001236254668461e-06
1997,Myanmar,1.0104998036410106e-05
1997,Netherlands,3.1937694412730315e-07
1997,Nigeria,4.2306530539176195e-07
1997,Pakistan,6.790915909293874e-07
1997,Peru,4.7598351780140673e-07
1997,Poland,1.5566286723010744e-07
1997,Portugal,4.914215488742319e-07
1997,Romania,6.184401173269251e-07
1997,Russia,0.00018497256007952886
1997,Rwanda,2.5545577203874578e-05
1997,El Salvador,2.1753173526979505e-05
1997,Senegal,6.571111030310782e-07
1997,Sierra Leone,1.43012182561971e-05
1997,Somalia,0.0007145807486326445
1997,Spain,1.7484575981298098e-07
1997,Vietnam,0.00010584286312360492
1997,Sudan,4.450318392540275e-05
1997,Slovenia,1.9119910518818773e-05
1997,Sweden,5.637705061655633e-07
1997,Switzerland,3.112398763924978e-06
1997,Syria,2.372274750535541e-06
1997,Thailand,8.217387637249274e-08
1997,Tajikistan,8.419770699332683e-07
1997,Togo,1.047716813291291e-05
1997,Turkey,2.3189338747889334e-07
1997,Uganda,8.312017625910443e-07
1997,Ukraine,2.3910441051995644e-07
1997,Venezuela,2.1893582040922346e-07
1997,Yemen,3.755709617546074e-07
1997,Zambia,1.7712743068326385e-06
1998,Bosnia and Herzegovina,0.009767728577327495
1998,Democratic Republic of Congo,4.1025670297022285e-06
1998,Iraq,0.00022957964360665687
1998,Somalia,0.0004820848994009033
1998,Afghanistan,9.99606338507339e-05
1998,Albania,1.6073557743773988e-06
1998,Algeria,1.2254597544112411e-06
1998,Angola,8.463762077137425e-07
1998,Egypt,3.6706805029267333e-06
1998,Austria,6.218090315025866e-07
1998,Azerbaijan,2.127685404941712e-06
1998,Burundi,2.0046676422715858e-05
1998,Bangladesh,4.075550335011053e-08
1998,Bulgaria,2.4577062547026674e-06
1998,Cambodia,1.293046598813328e-06
1998,Chad,6.306263290610759e-06
1998,China,9.434093177027254e-09
1998,Cameroon,1.0187606817057477e-06
1998,Colombia,9.905040119713358e-07
1998,Costa Rica,1.3144428615631408e-06
1998,Cuba,0.00014657515110919704
1998,Cyprus,5.50230546599025e-06
1998,Djibouti,2.204374949483074e-05
1998,Ecuador,4.09888175127838e-07
1998,Eritrea,8.339228956703539e-05
1998,Ethiopia,1.3150374824077742e-05
1998,Gambia,4.4422044964801586e-05
1998,Palestine,1.999584086510006e-06
1998,United Kingdom,8.545551859091643e-08
1998,Germany,2.9851600324023767e-06
1998,Ghana,5.447466026741938e-07
1998,Greece,1.8231339472007648e-06
1998,Guatemala,3.323302946368537e-06
1998,Croatia,0.0007328737511426108
1998,Hungary,4.863997758669833e-07
1998,India,5.4929771081179524e-08
1998,Indonesia,1.0207821673360721e-07
1998,Iran,5.9276085182235505e-05
1998,Israel,8.773039537106361e-07
1998,Italy,1.0574037161219966e-07
1998,Jordan,7.28159021839714e-06
1998,Kazakhstan,1.3824731892366167e-06
1998,Kenya,3.0412732515257276e-06
1998,Kyrgyzstan,1.0445452593104497e-06
1998,Kuwait,6.0618604668943234e-05
1998,Laos,9.718926696161664e-07
1998,Liberia,0.0006065608674098461
1998,Libya,9.621353555109382e-07
1998,Lebanon,1.3537243936262323e-06
1998,Sri Lanka,9.588143452631205e-06
1998,North Macedonia,2.4850252379163163e-06
1998,Mexico,5.205279948648456e-08
1998,Myanmar,6.8404221592844915e-06
1998,Nigeria,2.8885891041576485e-06
1998,Pakistan,1.2458912194726152e-06
1998,Peru,5.066632057672304e-07
1998,Philippines,6.695949482221645e-08
1998,Russia,0.00015975775019339803
1998,Rwanda,3.7054058712012406e-05
1998,El Salvador,2.0525154180128755e-05
1998,Saudi Arabia,4.043814528222565e-07
1998,Sierra Leone,4.587486796710886e-05
1998,Vietnam,0.00013954939052466167
1998,Sudan,9.159917553823068e-05
1998,Slovenia,1.0566654456310405e-05
1998,Eswatini,1.3266362016568666e-05
1998,Switzerland,2.9611768562877418e-06
1998,Syria,2.371857513159963e-06
1998,Tajikistan,1.5595460393752194e-05
1998,Turkmenistan,1.1328936346558506e-06
1998,Togo,7.555395621022219e-06
1998,Tunisia,2.6288499244258225e-06
1998,Turkey,6.032969526248024e-07
1998,Uganda,8.075085011578999e-07
1998,Ukraine,7.035667598316369e-07
1998,Uzbekistan,6.240634627609059e-07
1998,Zambia,7.094733133640245e-07
1999,Bosnia and Herzegovina,0.006974495859727896
1999,Ethiopia,3.765754936418266e-05
1999,Somalia,0.0005857186364329852
1999,Afghanistan,0.00016211515560055558
1999,Albania,6.08447817593749e-06
1999,Algeria,1.6000832827021266e-06
1999,Angola,6.302439844629732e-07
1999,Egypt,4.635966231858949e-06
1999,Armenia,1.3920272448867278e-05
1999,Austria,6.210319165690819e-07
1999,Azerbaijan,2.7066872308677566e-05
1999,Burundi,5.504910380059013e-05
1999,Bhutan,8.652225525449657e-06
1999,Belarus,9.824231896207745e-05
1999,Bulgaria,6.198087146344895e-07
1999,Cambodia,4.2064654383338895e-07
1999,Chad,3.352566302586244e-06
1999,China,1.71671832689587e-08
1999,Cameroon,5.955296369294016e-07
1999,Congo,1.3822919189897948e-05
1999,Democratic Republic of Congo,4.703872190566058e-06
1999,Colombia,3.102606425297904e-06
1999,Cuba,0.00018250425610209702
1999,Djibouti,2.5715277589278444e-05
1999,Ecuador,1.2859556205463238e-06
1999,Eritrea,8.894204554190288e-05
1999,Estonia,4.559105959321377e-05
1999,Gambia,1.4877247051564537e-05
1999,Palestine,5.4489484811536895e-06
1999,Georgia,1.1219184266574998e-05
1999,Germany,8.023105068212673e-06
1999,Ghana,5.315651633241938e-07
1999,Greece,3.1737686389764722e-06
1999,Guatemala,2.0198102994166787e-06
1999,Guinea,1.3656546544924761e-06
1999,Haiti,1.0938722717803793e-05
1999,Honduras,7.815992771769885e-07
1999,Croatia,0.0008217310385899437
1999,Cote d'Ivoire,3.118651011288082e-07
1999,India,3.371680080266486e-08
1999,Indonesia,3.355460663021483e-07
1999,Iran,5.714429010410739e-05
1999,Iraq,0.00022603219945775953
1999,Italy,2.1180596194598776e-07
1999,Jordan,5.564659957541644e-06
1999,Kazakhstan,2.7029594676581248e-05
1999,Kenya,2.990472643558202e-06
1999,Kyrgyzstan,2.8594227545457107e-05
1999,North Korea,2.1995937790208904e-07
1999,Kuwait,0.00010094064382709533
1999,Laos,3.629182370043277e-06
1999,Liberia,0.0009271373052196756
1999,Libya,9.477018325331255e-07
1999,Lebanon,5.336518167375623e-06
1999,Sri Lanka,5.036624565664805e-06
1999,Lithuania,3.683565827729827e-06
1999,Latvia,6.644275458371954e-05
1999,North Macedonia,4.939752310939625e-06
1999,Moldova,0.00024113577553311948
1999,Mexico,5.129003516783325e-08
1999,Malawi,1.2898084404143048e-06
1999,Malta,1.2799967232083886e-05
1999,Myanmar,9.592674055335437e-06
1999,Namibia,3.968566684109462e-06
1999,Nepal,2.1267571959148737e-07
1999,Nigeria,5.332883671737364e-06
1999,Pakistan,2.041484332238951e-06
1999,Peru,1.9173032592813296e-07
1999,South Africa,3.834135220160893e-07
1999,Russia,2.9186763054227312e-05
1999,Rwanda,3.746048318957484e-05
1999,El Salvador,7.356924080307499e-06
1999,Sierra Leone,0.000166503300709443
1999,Spain,1.2359573003449408e-07
1999,Vietnam,0.00012610729626804518
1999,Sudan,0.000123786397557442
1999,Slovenia,2.515565058801333e-06
1999,Switzerland,2.3893079313357874e-06
1999,Syria,2.7475972262256657e-06
1999,Thailand,2.0867252986180149e-07
1999,Tajikistan,4.085191605290748e-06
1999,Turkmenistan,3.582517582884343e-06
1999,Togo,2.342873220226945e-05
1999,Tunisia,1.0401944664358891e-06
1999,Turkey,1.2040960264333436e-06
1999,United Arab Emirates,2.022906721411018e-06
1999,Uganda,1.8734419389409545e-06
1999,Ukraine,0.00017385309857490978
1999,Uzbekistan,3.485983213782406e-05
1999,Venezuela,2.106164596341971e-07
1999,Yemen,1.0637570468733313e-06
2000,Bosnia and Herzegovina,0.005468418437311393
2000,Democratic Republic of Congo,3.6407383120093625e-05
2000,Rwanda,5.924104905562205e-05
2000,Afghanistan,0.0002673730268065521
2000,Albania,1.5978289977841308e-06
2000,Algeria,3.8657006624329086e-06
2000,Angola,4.26947017156012e-07
2000,Egypt,3.9226191601262683e-07
2000,Armenia,2.9319809733981368e-06
2000,Azerbaijan,3.077778036311133e-05
2000,Burundi,7.242660966180379e-05
2000,Belarus,0.00010109774115432752
2000,Cambodia,2.0567259834667203e-06
2000,Chad,3.351024348303556e-06
2000,China,1.239780751685842e-08
2000,Cameroon,4.5120699159414265e-07
2000,Congo,7.993809593850523e-06
2000,Colombia,1.561949398643173e-05
2000,Cuba,0.0002861656437113707
2000,Equatorial Guinea,1.6496750140222375e-05
2000,Eritrea,0.00014700666939159742
2000,Estonia,4.359911400882418e-05
2000,Ethiopia,3.518318942981021e-05
2000,France,8.472409057669519e-08
2000,Gambia,9.865615143871025e-06
2000,Georgia,5.501831192815342e-06
2000,Ghana,2.593515692066695e-07
2000,Guatemala,2.489111424987108e-06
2000,Haiti,5.789360384375721e-06
2000,Croatia,0.001151290346256556
2000,India,7.003758523474745e-08
2000,Indonesia,1.0873993851806054e-07
2000,Iran,0.00010988458887612905
2000,Iraq,0.00025300468060787
2000,Jordan,9.760868483034146e-07
2000,Kazakhstan,1.876333034102889e-05
