Country,Year,undesa_refugees_by_destination
El Salvador,2015,49
Guatemala,2015,351
Honduras,2015,39
Mexico,2015,4273
Nicaragua,2015,461
Panama,2015,20256
South America,2015,347415
Argentina,2015,4284
Bolivia,2015,775
Brazil,2015,29522
Chile,2015,2913
Colombia,2015,341
Ecuador,2015,133118
Guyana,2015,12
Paraguay,2015,209
Peru,2015,1867
Suriname,2015,5
Uruguay,2015,380
Venezuela,2015,173989
Northern America,2015,714900
Canada,2015,155530
United States,2015,559370
Oceania,2015,69894
Australia and New Zealand,2015,59090
Australia,2015,57594
New Zealand,2015,1496
Melanesia,2015,9979
Fiji,2015,20
Papua New Guinea,2015,9955
Micronesia (country),2015,822
Micronesia (region),2015,14
Nauru,2015,808
World,2020,33807795
Sub-Saharan Africa,2020,5893738
Northern Africa and Western Asia,2020,13481636
Central and Southern Asia,2020,3569787
Eastern and South-Eastern Asia,2020,656437
Latin America and the Caribbean,2020,4797904
Oceania (excluding Australia and New Zealand),2020,11042
Australia and New Zealand,2020,157455
Europe and Northern America,2020,5239796
Developed regions,2020,5427839
Less developed regions,2020,28379956
"Less developed regions, excluding least developed countries",2020,21512833
"Less developed regions, excluding China",2020,28075783
Least developed countries,2020,6867123
Land-locked Developing Countries (LLDC),2020,3638192
Small island developing States (SIDS),2020,135125
High-income countries,2020,6139080
Middle-income countries,2020,21605961
Upper-middle-income countries,2020,14748625
Lower-middle-income countries,2020,6857336
Low-income countries,2020,6062743
Africa,2020,7448261
Eastern Africa,2020,3632538
Burundi,2020,87476
Djibouti,2020,30794
Eritrea,2020,199
Ethiopia,2020,734812
Kenya,2020,489747
Madagascar,2020,249
Malawi,2020,44385
Mauritius,2020,27
Mozambique,2020,25691
Rwanda,2020,145552
Somalia,2020,35672
South Sudan,2020,301995
Uganda,2020,1381122
Tanzania,2020,271729
Zambia,2020,62596
Zimbabwe,2020,20492
Middle Africa,2020,1493673
Angola,2020,55994
Cameroon,2020,416208
Central African Republic,2020,7486
Chad,2020,446431
Congo,2020,40086
Democratic Republic of Congo,2020,526931
Gabon,2020,537
Northern Africa,2020,1554523
Algeria,2020,100270
Egypt,2020,324736
Libya,2020,45458
Morocco,2020,9756
Sudan,2020,1071034
Tunisia,2020,3269
Southern Africa,2020,286093
Botswana,2020,1268
Eswatini,2020,1921
Lesotho,2020,226
Namibia,2020,5097
South Africa,2020,277581
Western Africa,2020,481434
Benin,2020,1624
Burkina Faso,2020,25902
Cote d'Ivoire,2020,2190
Gambia,2020,4517
Ghana,2020,13463
Guinea,2020,6956
Guinea-Bissau,2020,1888
Liberia,2020,8254
Mali,2020,27678
Mauritania,2020,86458
Niger,2020,217925
Nigeria,2020,55199
Senegal,2020,16273
Sierra Leone,2020,443
Togo,2020,12664
Asia,2020,16153337
Central Asia,2020,6499
Kazakhstan,2020,742
Kyrgyzstan,2020,517
Tajikistan,2020,5204
Turkmenistan,2020,22
Uzbekistan,2020,14
Eastern Asia,2020,363563
China,2020,304041
Hong Kong,2020,130
Japan,2020,30588
Mongolia,2020,10
South Korea,2020,28792
South-Eastern Asia,2020,292874
Cambodia,2020,27
Indonesia,2020,13657
Malaysia,2020,179744
Philippines,2020,1023
Thailand,2020,98418
Southern Asia,2020,3563288
Afghanistan,2020,72479
Bangladesh,2020,854820
India,2020,207334
Iran,2020,979468
Nepal,2020,19634
Pakistan,2020,1428147
Sri Lanka,2020,1406
Western Asia,2020,11927113
Armenia,2020,18158
Azerbaijan,2020,1288
Bahrain,2020,312
Cyprus,2020,31168
Georgia,2020,2486
Iraq,2020,286930
Israel,2020,54611
Jordan,2020,3017401
Kuwait,2020,1765
Lebanon,2020,1404312
Oman,2020,563
Qatar,2020,303
Saudi Arabia,2020,2651
Palestine,2020,2319073
Syria,2020,590594
Turkey,2020,3907788
United Arab Emirates,2020,8517
Yemen,2020,279193
Europe,2020,3851712
Eastern Europe,2020,106411
Belarus,2020,2877
Bulgaria,2020,21521
Czechia,2020,3725
Hungary,2020,6006
Poland,2020,17464
Moldova,2020,530
Romania,2020,4804
Russia,2020,43895
Slovakia,2020,987
Ukraine,2020,4602
Northern Europe,2020,623507
Denmark,2020,38992
Estonia,2020,373
Finland,2020,31808
Iceland,2020,1323
Ireland,2020,15680
Latvia,2020,724
Lithuania,2020,2250
Norway,2020,55426
Sweden,2020,281869
United Kingdom,2020,195062
Southern Europe,2020,684556
Albania,2020,131
Bosnia and Herzegovina,2020,5974
Croatia,2020,1383
Greece,2020,186166
Italy,2020,254665
Malta,2020,12601
Montenegro,2020,1151
North Macedonia,2020,433
Portugal,2020,3466
Serbia,2020,26715
Slovenia,2020,1080
Spain,2020,190791
Western Europe,2020,2437238
Austria,2020,162680
Belgium,2020,72570
France,2020,510080
Germany,2020,1455947
Liechtenstein,2020,162
Luxembourg,2020,4357
Monaco,2020,22
Netherlands,2020,110052
Switzerland,2020,121368
Latin America and the Caribbean,2020,4797904
Caribbean,2020,96115
Anguilla,2020,11
Aruba,2020,17008
Bahamas,2020,30
Barbados,2020,7
Cayman Islands,2020,101
Cuba,2020,270
Curacao,2020,16585
Dominican Republic,2020,34549
Haiti,2020,11
Jamaica,2020,126
Saint Vincent and the Grenadines,2020,38
Sint Maarten (Dutch part),2020,9
Trinidad and Tobago,2020,27352
Central America,2020,405184
Belize,2020,2179
Costa Rica,2020,114235
El Salvador,2020,85
Guatemala,2020,1048
Honduras,2020,186
Mexico,2020,150985
Nicaragua,2020,459
Panama,2020,136007
South America,2020,4296605
Argentina,2020,185268
Bolivia,2020,6594
Brazil,2020,363676
Chile,2020,463310
Colombia,2020,1781002
Ecuador,2020,503644
Guyana,2020,22079
Paraguay,2020,5298
Peru,2020,867821
Suriname,2020,1481
Uruguay,2020,28628
Venezuela,2020,67804
Northern America,2020,1388084
Canada,2020,198772
United States,2020,1189312
Oceania,2020,168497
Australia and New Zealand,2020,157455
Australia,2020,154129
New Zealand,2020,3326
Melanesia,2020,9861
Fiji,2020,20
Papua New Guinea,2020,9840
Micronesia (country),2020,1179
Nauru,2020,1179
