Report generated on: 02-28-2022 17:09:14
"API","","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.7-6-UKR-MST.A","        Ukraine","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625","37891.90625"
"INTL.7-6-ARE-MST.A","        United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-GBR-MST.A","        United Kingdom","476.19792","404.54777","408.95701","413.36625","291.00984","291.00984","77.1617","77","77","77","28.66006","28.66006"
"INTL.7-6-USA-MST.A","        United States","261573","260551","259518","258619","257648","256709","255755","254896","254197","253455","252733","252057"
"INTL.7-6-URY-MST.A","        Uruguay","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-UZB-MST.A","        Uzbekistan","1157.4255","1570.79175","1570.79175","1515.67625","1515.67625","1515.67625","1515.67625","1515.67625","1515.67625","1515.67625","1515.67625","1515.67625"
"INTL.7-6-VUT-MST.A","        Vanuatu","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-VEN-MST.A","        Venezuela","936.9635","936.9635","936.9635","805.78861","805.78861","805.78861","805.78861","805.78861","805.78861","805.78861","805.78861","805.78861"
"INTL.7-6-VNM-MST.A","        Vietnam","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616","3703.7616"
"INTL.7-6-WAK-MST.A","        Wake Island","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ESH-MST.A","        Western Sahara","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-YEM-MST.A","        Yemen","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ZMB-MST.A","        Zambia","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395","49.60395"
"INTL.7-6-ZWE-MST.A","        Zimbabwe","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962","553.35962"
