Report generated on: 02-28-2022 15:46:47
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"INTL.3-6-HITZ-TCF.A","        Hawaiian Trade Zone","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.3-6-HND-TCF.A","        Honduras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-HKG-TCF.A","        Hong Kong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-HUN-TCF.A","        Hungary","4.061","4.45","4.45","4.45","4.45","4.697","4.697","4.414","4.097","3.991","3.814","3.602","3.758","3.758","3.412","3.45","3.354","3.302","3.185","3.06","2.871","2.871","1.282","1.21","1.21","1.21","1.21","0.286","0.286","0.286","0.286","0.286","0.283","0.286","0.277","0.304","0.292","0.272","0.233","0.202","0.212","0.132"
"INTL.3-6-ISL-TCF.A","        Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-IND-TCF.A","        India","9.3","12","12.43","14.508","14.826","15","16.88","17.55","17.55","22.861","22.973","25.049","25.772","25.954","25.354","24.967","24.967","24.2","17.356","18.978","22.884","22.849","22.865","26.943","30.14","32.525","38.88","37.96","37.96","37.96","37.96","37.928","40.745","43.825","47.842","50.398","44.209","43.344","45.548","47.306","47.306","48.756"
"INTL.3-6-IDN-TCF.A","        Indonesia","24","23.5","27.4","29.6","30.2","40","35.6","49.44","73","83.59","87.015","91.45","64.837","64.388","64.388","64.388","68.916","72.268","72.268","72.268","72.268","72.268","92.5","92.5","90.3","90.3","97.786","97.78","93.9","106","106","106","141.06","108.4","104.71","103.35","101.54","98","101.22","100.4","96.06","49.74"
"INTL.3-6-IRN-TCF.A","        Iran","490","485","484","482.6","480","478.6","470","450","489.4","494.4","500","600.35","600.35","699.2","730","741.609","741.609","741.609","810","812.3","812.3","812.3","812.3","812.3","940","940","971.15","974","948.2","991.6","1045.67","1045.67","1168","1187","1193","1201.382","1201.382","1183.019","1190.83","1193.966","1197.109","1200.252"
"INTL.3-6-IRQ-TCF.A","        Iraq","27.5","27.45","27.3","28.8","29","28.8","29","28","26.3","95","95","95","95","109.5","109.5","109.5","109.5","118","109.8","109.8","109.8","109.8","109.8","109.8","110","110","111.95","112","111.94","111.94","111.94","111.94","111.52","111.52","111.522","111.522","111.522","111.522","134.896","132.22","131.686","131.686"
"INTL.3-6-IRL-TCF.A","        Ireland","1","0.95","0.86","NA","0.7","0.8","0.9","1.94","1.9","1.8","1.73","1.7","1.7","0.7","0.613","0.518","0.418","0.377","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
"INTL.3-6-ISR-TCF.A","        Israel","0.1","0.1","0.09","0.085","0.01","0.008","0.01","0.01","0.03","0.03","0.009","0.01","0.01","0.015","0.014","0.013","0.013","0.012","0.011","0.011","0.01","1.47","1.47","1.375","1.375","1.375","1.375","1.275","1.075","1.075","1.075","7","9.559","9.482","6.992","7.027","7.027","6.216","6.216","6.216","6.216","6.216"
"INTL.3-6-ITA-TCF.A","        Italy","3.5","3.5","3.65","4.32","4.34","4.36","5","8","10.2","10.24","11.693","11.624","11.37","12.996","10.665","13.2","13.2","10.506","10.506","8.072","8.072","8.072","8.072","8","8","8","8","5.8","3.325","3.325","2.466","2.245","2.331","2.202","2.099","1.985","1.897","1.735","1.346","1.578","1.712","1.616"
"INTL.3-6-JAM-TCF.A","        Jamaica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-JPN-TCF.A","        Japan","0.6","0.5","0.8","0.72","0.9","0.72","1.1","1.09","1.03","1.41","1.116","1.124","0.968","0.968","1.046","0.965","0.958","1.052","1.386","1.38","1.414","1.414","1.414","1.4","1.4","1.4","1.4","1.4","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738","0.738"
"INTL.3-6-JOR-TCF.A","        Jordan","NA","NA","NA","NA","NA","NA","NA","NA","0.989","0.98","0.058","0.4","0.1","0.215","0.2","0.2","0.2","0.2","0.2","0.245","0.24","0.23","0.23","0.23","0.22","0.22","0.22","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213","0.213"
"INTL.3-6-KAZ-TCF.A","        Kazakhstan","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","65","65","65","65","65","65","65","65","65","65","100","100","85","85","85","85","85","85","85","85","85","85","85","85","85"
"INTL.3-6-KEN-TCF.A","        Kenya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-KIR-TCF.A","        Kiribati","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-XKS-TCF.A","        Kosovo","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-KWT-TCF.A","        Kuwait","33.5","33.2","34.65","34.09","35.1535","36.645","36.605","41.2","42.55","48.65","54.6","53.6","48.5","52.9","52.9","52.9","52.9","52.9","52.9","52.7","52.7","52.7","52.7","52.7","55.5","55.5","56.015","55","56.015","63.36","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63","63","63","63","63"
"INTL.3-6-KGZ-TCF.A","        Kyrgyzstan","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"INTL.3-6-LAO-TCF.A","        Laos","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-LVA-TCF.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-LBN-TCF.A","        Lebanon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-LSO-TCF.A","        Lesotho","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-LBR-TCF.A","        Liberia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-LBY-TCF.A","        Libya","24","23.8","23.2","21.5","21.35","21.2","21.39","21.18","25.7","25.7","25.5","43","43","46.2","45.8","45.8","45.8","46.3","46.3","46.4","46.4","46.4","46.4","46.4","46.4","52","52.65","52.65","50.1","54.38","54.362","54.68","52.795","54.63","54.701","53.183","53.148","53.144","53.144","53.144","53.144","53.144"
"INTL.3-6-LTU-TCF.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA"
"INTL.3-6-LUX-TCF.A","        Luxembourg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MAC-TCF.A","        Macau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MDG-TCF.A","        Madagascar","NA","NA","NA","NA","NA","NA","NA","NA","0.071","0.071","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0.071","0","0","NA","NA","NA","NA","NA","NA","NA"
"INTL.3-6-MWI-TCF.A","        Malawi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MYS-TCF.A","        Malaysia","17","15","19","34","48","50","52.7","49.44","52.2","51.7","51.9","56.9","59.055","67.8","76.7","68","68","80.2","79.8","81.7","81.7","81.7","75","75","75","75","75","75","83","83","83","83","83","83","83","38.284","41.765","41.765","41.765","41.765","41.765","42"
"INTL.3-6-MDV-TCF.A","        Maldives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MLI-TCF.A","        Mali","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MLT-TCF.A","        Malta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MTQ-TCF.A","        Martinique","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MRT-TCF.A","        Mauritania","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"INTL.3-6-MUS-TCF.A","        Mauritius","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MEX-TCF.A","        Mexico","59","64.5","75.35","75.85","75.352","77","76.954","76.5","76.53","74.831","73.38","72.744","71.508","70.9","70.954","69.675","68.413","67.668","63.9","63.456","30.064","30.394","29.505","8.776","14.985","14.85","15.985","14.557","13.85","13.162","12.702","11.966","17.316","17.224","17.075","16.549","15.29","12.064","6.984","6.593","6.368","6.368"
"INTL.3-6-FSM-TCF.A","        Micronesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA",""
"INTL.3-6-MDA-TCF.A","        Moldova","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MNG-TCF.A","        Mongolia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MNE-TCF.A","        Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MSR-TCF.A","        Montserrat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MAR-TCF.A","        Morocco","0.025","0.106","0.106","0.141","0.141","0.141","0.141","0.13","0.07","0.1","0.1","0.053","0.043","0.037","0.032","0.053","0.04","0.04","0.05","0.05","0.049","0.047","0.047","0.043","0.043","0.043","0.06","0.058","0.055","0.053","0.053","0.051","0.051","0.051","0.051","0.051","0.051","0.051","0.051","0.051","0.051","0.051"
"INTL.3-6-MOZ-TCF.A","        Mozambique","NA","NA","NA","NA","2.295","2.295","2.295","2.295","2.2","2.29","2.29","2.29","2.29","2.3","2.3","2.702","1.74","2","2.5","2","2","2","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","100","100","100","100","100","100","100","100"
"INTL.3-6-NAM-TCF.A","        Namibia","--","--","--","--","--","--","--","--","--","--","2.013","2","2.1","5.2","5.2","2","2","3","3","3","3","3","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2"
"INTL.3-6-NRU-TCF.A","        Nauru","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-NPL-TCF.A","        Nepal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-NLD-TCF.A","        Netherlands","59.5","62","55.7","51.92","50.05","68.482","67.07","70.4","64.1","62.507","61.1","60.9","69.57","68.86","68.157","66.215","65.156","64.096","61.306","63.107","62.542","62.542","62.542","62","62","62","62","50","50","50","50","49","46","43.436","33.744","31.702","26.872","27.78","28.301","24.533","6.922","4.683"
"INTL.3-6-NLDA-TCF.A","        Netherlands Antilles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-NCL-TCF.A","        New Caledonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-NZL-TCF.A","        New Zealand","6","6.1","6.02","5.545","5.533","5.438","5.515","5.69","5.2","5.15","5.12","4.106","3.449","3.386","3.155","3.008","2.842","2.398","2.4","2.45","2.45","2.45","2.083","3.086","1.32","1.178","0.9","0.9","1.048","1.2","1.2","1.214","0.976","1.039","1.001","1.361","1.303","1.267","1.19","0.991","1.045","1.1"
"INTL.3-6-NIC-TCF.A","        Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-NER-TCF.A","        Niger","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA"
"INTL.3-6-NGA-TCF.A","        Nigeria","41.4","41","40.5","32.4","34.8","35.6","47","47","84","85","87.4","87.4","104.72","120","120","120","109.71","104.717","114.852","124","124","124","124","124","159","176","184.66","181.9","183.99","184.16","185.28","186.88","180.458","182","180.737","180.49","180.49","186.61","193.351","198.707","200.407","203.444"
"INTL.3-6-NIU-TCF.A","        Niue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-PRK-TCF.A","        North Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MKD-TCF.A","        North Macedonia","--","--","--","--","--","--","--","--","--","--","--","--","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-MNP-TCF.A","        Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA",""
"INTL.3-6-NOR-TCF.A","        Norway","23.5","42.7","49.37","58","58.8","89","104","103.18","105.94","85.5","82.16","60.674","60.67","70.629","70.488","70.912","47.498","47.745","52.301","41.424","41.389","44.037","44.037","77.3","74.8","73.624","84.26","82.32","79.13","81.68","81.68","72","70.87","73.1","73.806","72.358","67.874","65.543","62.937","61.061","57.265","54.542"
"INTL.3-6-OMN-TCF.A","        Oman","2","2.5","2.7","2.69","2.81","7.377","6","7.5","9.5","9.32","9.26","7.2","9.9","16.9","20","22.248","25.2","30","27.45","28.416","28.416","29.28","29.28","29.28","29.28","29.28","29.28","30","30","30","30","30","30","30","17.82","24.91","24.3","23","23","31.218","23","23"
"INTL.3-6-PAK-TCF.A","        Pakistan","15.8","15.1","16.4","18.54","15.8","15.76","15.4","18.7","22.4","17.722","18","19.449","22.6","31","22.94","27.5","27","22","21","21.6","21.6","21.6","25.078","26.365","26.83","26.83","28.153","28","28","31.266","29.671","29.671","26.62","24.001","26.65","24.7","23.64","19.158","20.794","14.19","21.455","20.914"
"INTL.3-6-PSE-TCF.A","        Palestinian Territories","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-PAN-TCF.A","        Panama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-PNG-TCF.A","        Papua New Guinea","NA","NA","NA","NA","NA","0.5","0.5","0.5","1","3.03","4.52","8","8","14.2","15","15","3","1.5","9","5.442","5.442","7.9","12.23","12.23","12.2","12.2","12.2","12.2","8","8","8","8","5.483","5.483","5.483","5.467","5.343","4.996","7.435","7.052","6.687","6.467"
"INTL.3-6-PRY-TCF.A","        Paraguay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-PER-TCF.A","        Peru","1.1","1.1","1.202","1.201","1.15","1.1","0.852","0.85","0.65","0.623","0.65","7.082","7.075","7.054","7.039","7.031","7.046","7.046","7.024","6.982","9","8.7","8.655","8.655","8.725","8.715","8.723","8.723","11.928","11.842","11.8","12.2","12.461","12.7","15.376","15.047","14.626","14.09","16.091","16.091","12.88","10.6"
"INTL.3-6-PHL-TCF.A","        Philippines","0","0.01","0.016","0.016","0.014","0.012","0.011","0.01","0.01","0.009","0.01","1.8","0.1","1.6","2.98","3.452","3.88","3.85","2.7","2.85","2.8","2.8","3.693","3.772","3.77","3.77","3.96","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48","3.48"
"INTL.3-6-POL-TCF.A","        Poland","3.885","3.673","3.532","3.426","3.32","3.214","3.39","6.827","5.756","6.039","5.792","5.615","4.59","5.597","5.477","5.491","5.336","5.262","5.262","5.119","5.119","5.119","5.119","5.829","5.829","5.82","5.82","5.82","5.82","5.82","5.82","5.82","3.355","3.249","3.143","3.015","2.884","2.884","2.888","3.12","3.178","3.231"
"INTL.3-6-PRT-TCF.A","        Portugal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-PRI-TCF.A","        Puerto Rico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-QAT-TCF.A","        Qatar","60","60","60","62","62","150","148","152","156.7","156.7","163.1","163.2","162","227","250","250","250","250","300","300","300","393.83","508.54","508.54","910","910","910.52","910.5","905.3","891.945","899.325","895.8","890","890","885.287","871.585","866.288","858.098","850.096","842.627","842.627","842.627"
"INTL.3-6-REU-TCF.A","        Reunion","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-ROU-TCF.A","        Romania","9.888","10.595","9.888","9.005","8.122","7.416","9.535","8.299","6.992","5.827","4.697","4.7","3.7","7.335","8","12.29","13","14","14","13.2","13.2","13.2","3.556","3.556","3.556","3.55","3.55","2.225","2.225","2.225","2.225","2.225","2.225","3.725","3.725","3.725","3.725","3.725","3.725","3.725","3.725","3.725"
"INTL.3-6-RUS-TCF.A","        Russia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","1700","1700","1700","1700","1700","1680","1680","1680","1680","1680","1680","1680","1680","1680","1680","1680","1688","1688","1688.228","1688.228","1688.228","1688.228","1688.228","1688.228","1688.228"
"INTL.3-6-RWA-TCF.A","        Rwanda","NA","NA","NA","1.413","1.413","1.413","1.413","1.413","1.766","2.013","2.013","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"INTL.3-6-SHN-TCF.A","        Saint Helena","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-KNA-TCF.A","        Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-LCA-TCF.A","        Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SPM-TCF.A","        Saint Pierre and Miquelon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-VCT-TCF.A","        Saint Vincent/Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-WSM-TCF.A","        Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-STP-TCF.A","        Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SAU-TCF.A","        Saudi Arabia","95.73","112.4","118.15","121.19","125.1535","127.415","125.105","130.19","146.05","151.998","187.347","185.355","184.548","183.1","185.86","185.9","185.9","189.1","190.5","204.5","204.5","213.8","219.5","224.7","231.1","235","241.84","240","253.107","258.47","263.5","275.7","283.5","287.844","290.811","294.205","300.281","303.284","304.382","307.747","320.257","332.764"
"INTL.3-6-SEN-TCF.A","        Senegal","0","0","0","0","0","0","0","0","0","0","0","0","0","0.21","0.21","0.21","0.21","0.35","0.35","0.39","0.39","0.39","0.39","0.39","0.39","0.39","0.39","0.39","0.39","0.35","0.35","0.35","0.35","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SRB-TCF.A","        Serbia","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7","1.7"
"INTL.3-6-SYC-TCF.A","        Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SLE-TCF.A","        Sierra Leone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SGP-TCF.A","        Singapore","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SVK-TCF.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"INTL.3-6-SVN-TCF.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SLB-TCF.A","        Solomon Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-SOM-TCF.A","        Somalia","NA","NA","NA","NA","0.212","0.212","0.212","0.212","0.21","0.21","0.21","0.21","0.21","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"INTL.3-6-ZAF-TCF.A","        South Africa","NA","NA","0.283","0.4","0.4","0.35","0.989","0.989","0.98","1.76","1.76","1.76","1.8","1.9","0.943","0.959","0.959","0.9","0.826","0.78","0.78","0.78","0.001","0.001","0.001","0.001","0.001","0.918","0.812","0.6","0.494","0.424","0.53","0","0","NA","NA","NA","NA","NA","NA","NA"
"INTL.3-6-KOR-TCF.A","        South Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.106","0.106","0.106","0.106","0.071","0.071","0.035","0.25","0.186","0.203","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"INTL.3-6-SSD-TCF.A","        South Sudan","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","--",""
"INTL.3-6-ESP-TCF.A","        Spain","2","3.5","0.025","1.94","2.225","0.7","0.7","0.8","0.6","0.84","0.81","0.78","0.74","0.7","0.7","0.67","0.6","0.6","0.6","0.06","0.06","0.018","0.018","0.094","0.094","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09"
"INTL.3-6-LKA-TCF.A","        Sri Lanka","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
