year,country,value
2023,Tajikistan,1.175
2024,Tajikistan,1.171
2025,Tajikistan,1.167
2026,Tajikistan,1.163
2027,Tajikistan,1.16
2028,Tajikistan,1.156
2029,Tajikistan,1.1520000000000001
2030,Tajikistan,1.149
2018,Turkmenistan,0.951
2019,Turkmenistan,0.951
2020,Turkmenistan,0.951
2021,Turkmenistan,0.951
2022,Turkmenistan,0.951
2023,Turkmenistan,0.9520000000000001
2024,Turkmenistan,0.9520000000000001
2025,Turkmenistan,0.9520000000000001
2026,Turkmenistan,0.9520000000000001
2027,Turkmenistan,0.9520000000000001
2028,Turkmenistan,0.9520000000000001
2029,Turkmenistan,0.9520000000000001
2030,Turkmenistan,0.9520000000000001
2018,Uzbekistan,1.013
2019,Uzbekistan,1.0170000000000001
2020,Uzbekistan,1.021
2021,Uzbekistan,1.025
2022,Uzbekistan,1.0290000000000001
2023,Uzbekistan,1.032
2024,Uzbekistan,1.036
2025,Uzbekistan,1.04
2026,Uzbekistan,1.044
2027,Uzbekistan,1.048
2028,Uzbekistan,1.052
2029,Uzbekistan,1.056
2030,Uzbekistan,1.06
2018,Albania,0.9640000000000001
2019,Albania,0.966
2020,Albania,0.9690000000000001
2021,Albania,0.971
2022,Albania,0.9740000000000001
2023,Albania,0.976
2024,Albania,0.978
2025,Albania,0.98
2026,Albania,0.982
2027,Albania,0.985
2028,Albania,0.987
2029,Albania,0.9890000000000001
2030,Albania,0.992
2018,Bosnia and Herzegovina,1.255
2019,Bosnia and Herzegovina,1.254
2020,Bosnia and Herzegovina,1.253
2021,Bosnia and Herzegovina,1.253
2022,Bosnia and Herzegovina,1.252
2023,Bosnia and Herzegovina,1.251
2024,Bosnia and Herzegovina,1.25
2025,Bosnia and Herzegovina,1.249
2026,Bosnia and Herzegovina,1.248
2027,Bosnia and Herzegovina,1.248
2028,Bosnia and Herzegovina,1.247
2029,Bosnia and Herzegovina,1.246
2030,Bosnia and Herzegovina,1.245
2018,Bulgaria,1.4340000000000002
2019,Bulgaria,1.431
2020,Bulgaria,1.429
2021,Bulgaria,1.426
2022,Bulgaria,1.4240000000000002
2023,Bulgaria,1.422
2024,Bulgaria,1.419
2025,Bulgaria,1.4169999999999998
2026,Bulgaria,1.415
2027,Bulgaria,1.413
2028,Bulgaria,1.411
2029,Bulgaria,1.409
2030,Bulgaria,1.4069999999999998
2018,Croatia,1.325
2019,Croatia,1.315
2020,Croatia,1.305
2021,Croatia,1.295
2022,Croatia,1.285
2023,Croatia,1.275
2024,Croatia,1.265
2025,Croatia,1.255
2026,Croatia,1.246
2027,Croatia,1.236
2028,Croatia,1.227
2029,Croatia,1.218
2030,Croatia,1.209
2018,Czech Republic,1.525
2019,Czech Republic,1.518
2020,Czech Republic,1.5119999999999998
2021,Czech Republic,1.506
2022,Czech Republic,1.499
2023,Czech Republic,1.493
2024,Czech Republic,1.4869999999999999
2025,Czech Republic,1.4809999999999999
2026,Czech Republic,1.475
2027,Czech Republic,1.469
2028,Czech Republic,1.463
2029,Czech Republic,1.4569999999999999
2030,Czech Republic,1.452
2018,Hungary,1.3330000000000002
2019,Hungary,1.318
2020,Hungary,1.3019999999999998
2021,Hungary,1.287
2022,Hungary,1.272
2023,Hungary,1.258
2024,Hungary,1.2429999999999999
2025,Hungary,1.229
2026,Hungary,1.215
2027,Hungary,1.2009999999999998
2028,Hungary,1.187
2029,Hungary,1.173
2030,Hungary,1.16
2018,Macedonia,0.914
2019,Macedonia,0.9109999999999999
2020,Macedonia,0.907
2021,Macedonia,0.904
2022,Macedonia,0.9
2023,Macedonia,0.897
2024,Macedonia,0.894
2025,Macedonia,0.89
2026,Macedonia,0.887
2027,Macedonia,0.883
2028,Macedonia,0.88
2029,Macedonia,0.877
2030,Macedonia,0.873
2018,Montenegro,1.1909999999999998
2019,Montenegro,1.194
2020,Montenegro,1.196
2021,Montenegro,1.199
2022,Montenegro,1.202
2023,Montenegro,1.204
2024,Montenegro,1.207
2025,Montenegro,1.21
2026,Montenegro,1.212
2027,Montenegro,1.215
2028,Montenegro,1.218
2029,Montenegro,1.2209999999999999
2030,Montenegro,1.2229999999999999
2018,Poland,1.2009999999999998
2019,Poland,1.202
2020,Poland,1.203
2021,Poland,1.204
2022,Poland,1.205
2023,Poland,1.206
2024,Poland,1.207
2025,Poland,1.208
2026,Poland,1.209
2027,Poland,1.2109999999999999
2028,Poland,1.212
2029,Poland,1.213
2030,Poland,1.214
2018,Romania,1.393
2019,Romania,1.391
2020,Romania,1.39
2021,Romania,1.3880000000000001
2022,Romania,1.386
2023,Romania,1.385
2024,Romania,1.383
2025,Romania,1.381
2026,Romania,1.38
2027,Romania,1.3780000000000001
2028,Romania,1.3769999999999998
2029,Romania,1.375
2030,Romania,1.374
2018,Serbia,1.286
2019,Serbia,1.291
2020,Serbia,1.296
2021,Serbia,1.3019999999999998
2022,Serbia,1.307
2023,Serbia,1.3119999999999998
2024,Serbia,1.318
2025,Serbia,1.3230000000000002
2026,Serbia,1.329
2027,Serbia,1.334
2028,Serbia,1.34
2029,Serbia,1.345
2030,Serbia,1.351
2018,Slovakia,1.354
2019,Slovakia,1.3459999999999999
2020,Slovakia,1.338
2021,Slovakia,1.33
2022,Slovakia,1.321
2023,Slovakia,1.314
2024,Slovakia,1.306
2025,Slovakia,1.298
2026,Slovakia,1.29
2027,Slovakia,1.2830000000000001
2028,Slovakia,1.275
2029,Slovakia,1.268
2030,Slovakia,1.26
2018,Slovenia,1.214
2019,Slovenia,1.204
2020,Slovenia,1.194
2021,Slovenia,1.1840000000000002
2022,Slovenia,1.1740000000000002
